"Page ID ","Page Title","Post's Slug","Page Date","Page Content"
8,Home,home,2013/09/04,
9,Story,story,2013/09/04,"<p class=""lead"">The <strong>smash-hit, multi-award winning</strong> musical is coming to MELBOURNE!</p>    Based on the much-loved Oscar-winning film, <strong>ONCE</strong> is an extraordinary, original and irresistibly joyous celebration of love, friendship and music.    When an Irish busker and a Czech girl meet through a shared love of music, their songwriting sparks a deep connection and a tender, longing romance that neither of them could have expected. Winner of 8 Tony® Awards in 2012, including Best New Musical, and a 2013 Grammy® Award, this unique stage adaptation takes you right to the heart of the action in a rapturous production.    <div class=""flex-video"">  <p><iframe width=""700"" height=""525"" src=""//www.youtube.com/embed/6LW6l8QWIj4"" frameborder=""0"" allowfullscreen></iframe></p>  </div>    An exhilarating love story that refuses to play by the rules, performed by an extraordinary cast of actor-musicians, <strong>ONCE</strong> dazzles with invention, wit and unforgettable music.    Featuring all of the magical songs from the original film, including the Oscar-winning <em>Falling Slowly</em>, this achingly beautiful, thrillingly inspirational show strikes an unforgettable chord and truly dares to be different. How often does a musical like this come around..."
10,Buzz,buzz,2013/09/04,"<p class=""lead"">ONCE is receiving <b>sensational reviews</b> worldwide!</p>"
35,"Audition Registration",auditions,2013/09/10,"<h1>AUDITIONS NOW OPEN!</h1>  Can you sing, act AND play a musical instrument? Perhaps you play a killer accordion solo, you're a ukulele virtuoso, or multi-instrumentalist with a powerful singing voice? ONCE, the Tony Award-winning Broadway show is coming to Melbourne in 2014. And you are invited to audition!    We are currently seeking Australia's most talented and highly skilled actor/musicians for the Melbourne season of ONCE.    The 1st two rounds will be held online.    <strong>1st Round – NOW OPEN!</strong>  Begin by downloading and reading the audition brief. <a title=""Audition Brief"" href=""http://once:8888/wp-content/uploads/2013/09/Audition-brief-V2.pdf"" target=""_blank""><span style=""text-decoration: underline;""><strong>DOWNLOAD IT NOW</strong></span></a>  <p style=""padding-left: 30px;"">Once you have read the brief begin your registration below. On the following pages you will be asked to submit an online audition consisting of 2 separate links to videos you have uploaded to either YouTube or Vimeo:  A.    45 seconds of ‘party piece’  a.    This should be chosen with reference to the type of music that is performed in the production of Once. (DO NOT SUBMITT A SONG FROM THE SHOW)  b.    Please be mindful of the quality of the video.  B.    30 Second monologue or reading of some kind.  a.    DO NOT CHOOSE A PART OF THE PRODUCTION OF ONCE.</p>  <strong>2nd Round</strong>  Both local and international creatives will review round 1 videos and successful applicants will continue onto round 2.  <p style=""padding-left: 30px;"">Round 2 will also run online and the auditionee will be required to prepare and upload material from the show.  The process will be:  A.    The auditionee will be notified of their successful completion of round 1  B.    Material from the show will be emailed to the auditionee.  C.    The auditionee will have 2 weeks to learn and upload a video link.</p>  <strong>Live auditions</strong>  Those auditionees who successfully navigate round 2 will be offered a position in the live auditions held in Melbourne and Sydney in December. Auditionees will be notified by 20th November if they have been successful in this process.    <strong>AUDITIONS ARE STRICTLY BY APPOINTMENT ONLY.</strong>    Casting requirements for these roles are very specific. Please read the brief carefully when submitting performers – we will make no exceptions.  ALL performers are required to participate in the online audition process.    <strong>Applications Close: </strong><strong>5pm Wednesday 23rd October 2013</strong>  <h3>Have you downloaded and read the audition brief? If yes, please begin your registration below.</h3>  [gravityform id=""2"" name=""Auditionee Registration"" description=""false""]"
37,"Auditionee Profile Form",auditionee-profile-form,2013/09/10,"Now please complete your registration below to be considered for the 1st Round of LIVE auditions.    <span style=""text-decoration: underline;"">ONLINE AUDITIONS</span>  OPEN:     16TH SEPTEMBER 2013  CLOSE :    18TH OCTOBER 2013    <span style=""text-decoration: underline;"">1st Round LIVE AUDITION DATES</span>  SYDNEY:     2nd December 2013  MELBOURNE:    7th December 2013    Rehearsals scheduled to commence 18th August 2014  First Performance Friday 26th September 2014  Dates are subject to change at the producer’s discretion.    Casting requirements for these roles are very specific. Please read the brief carefully when submitting  – we will make no exceptions.    <strong>Applications close: </strong><strong>5pm Wednesday 23rd October 2013</strong>    [gravityform id=""3"" name=""Audition Profile"" title=""false"" description=""false""]"
69,"Auditionee Login Form",auditionee-login-form,2013/09/11,"Thank you for registering your interest in ONCE auditions.    Please log in now to complete and submit your registration using <strong>your email as your username.</strong>    <strong>You will not be considered until you login and complete the next steps.</strong>    You account details have also been sent to you via email."
91,"Audition Profiles",audition-profiles,2013/09/11,
112,"Privacy Policy",privacy-policy,2013/09/12,"<b>GENERIC PRIVACY STATEMENT</b>    The Gordon Frost Organisations (""the Company"") respects the privacy concerns of the users of its Internet sites (""Sites""), and has created this privacy policy to explain what information is gathered from your visit to the Company Sites, and how such information may be used.    The Privacy Act 1988 (Cth) (""Privacy Act"") was amended in December 2001. The new legislation established a national scheme for handling personal information by private sector organisations in Australia. The new legislation introduced ten National Privacy Principles (NPPs). The NPPs regulate the way companies can collect, use, hold and disclose personal information.    ""Personal information"" is information or opinion about an individual that identifies the individual, or from which it is reasonably possible to determine the individual's identity.    The Company and its Staff must comply with the Privacy Act by protecting personal information relating to its customers and Staff.    <b>HOW PERSONAL INFORMATION IS COLLECTED </b>  The Company collects personal information in various ways. The most common ways and purposes are:  <ul>  	<li>From application forms when individuals apply to become members of clubs run by the Company, for the purpose of providing news, information, offers and other services in accordance with terms and conditions of the club.</li>  	<li>From competition entries and promotions, for the primary purpose of running the competition or promotion and contacting the winner(s), and, unless advised otherwise, for the purpose of sending information, news and offers in relation to information, goods and services.</li>  	<li>From order forms when goods and services are ordered by distributors and retailers, for the purpose of fulfilling the order and delivering the goods, and to maintain the Company's relationship with the individual concerned.</li>  	<li>From telephone, email, written and in-person inquiries directed to the Company, for the purposes of responding to enquires.</li>  	<li>From business contacts, including contracts and business cards, when they enter into transactions with the Company or otherwise interact with the Company in a business context.</li>  	<li>Information submitted if you participate in an online survey.</li>  	<li>Any messages or comments you submit to the Company via this website which may include personal data such as name, email address and telephone number.</li>  	<li>From our primary ticketing agency when individuals have given the ticketing agency permission for the ticketing agency to provide the individuals’ Personal Information to presenters/producers related to the event for the purpose of providing information about future events.</li>  	<li>From websites through automatic processes such as cookies. Cookies are used to better understand users and improve the layout and functionality of the Company website by collecting information such as date, time and duration of visits and which pages are most commonly accessed.  This tracking is conducted in such a way as to ensure the anonymity of visitors to the Company website. While cookies may identify the computer, it should not identify the individual. With most internet browsers, users can erase cookies from their computer’s hard drive, block all cookies or receive a warning before a cookie is stored.  However, some parts of this Site may not function fully for users to that disallow cookies.</li>  </ul>  <b>WHAT PERSONAL INFORMATION IS COLLECTED? </b>  If you ask the Company to provide you with information, goods or services, sign up to join one of the Company's clubs, or submit a competition entry form, you will be asked to provide contact information (such as your name, telephone number, postal address and email address). You may also be asked for demographic information (such as your age and gender) and/or profile data (such as entertainment preferences e.g. what type of films you prefer).    <b>HOW IS PERSONAL INFORMATION USED? </b>  The main reason for collecting personal information is to enable the Company to provide customers with information, goods and services. The personal information collected is used to manage the relationship with you, the customer, communicate with you effectively, and also to identify which goods and services would be of interest to you in the future.  Only information that is needed is collected.  If at any time you do not wish to be notified of information, goods, services or promotions offered by the Company, or if you do not wish to receive further communication from the Company, the Company will respect your wishes and remove your information from its records upon receiving your request to do so.  <b></b>    <b>Use of your e-mail address</b>    The Company may use your email address for a variety of reasons including:  <ul>  	<li>sending you follow ups on products or services you have ordered, used or inquired about; and</li>  	<li>keeping you informed of changes to this web site and the products and services offered through this website or other sites of related companies, licensees or other production companies with which The Company collaborates.</li>  </ul>  The Company complies with privacy laws, providing you with an opportunity to opt out of receiving e-mails when an e-mail is sent to you.    <b>PASSING ON PERSONAL INFORMATION </b>  Generally, confidential information will not be disclosed to individuals or organisations outside of the Company without prior consent. However, in the circumstances described below, confidential information may be disclosed outside of the Company.    <b>Outsourcing </b>  The Company may disclose personal information to third parties to whom specialised functions are contracted out to e.g. mailing houses, printing companies, payroll processing etc. If the Company does disclose personal information to a third party under outsourcing or contracting arrangements, the Company will take steps to ensure that those contractors:  <ul>  	<li>Sign a contractual agreement which will be handled by the Company's Legal Counsel</li>  	<li>Handle the personal information in a manner consistent with the NPP's (regardless of whether they are a small business, or would otherwise be exempt from the Privacy Act)</li>  	<li>Only use the personal information in order to provide specific services or to perform the specific functions required by the Company</li>  	<li>Store the personal information securely, and only for as long as is necessary to provide the required services to perform the required functions.</li>  </ul>  <b>Disclosures permitted by law </b>  The Company may also disclose personal information without consent if they are required to do so by law, or if the disclosure is permitted under the Privacy Act.    <b>Transfer of personal information overseas </b>  The Company may, from time to time, transfer personal information to branches overseas. If personal information is required to be transferred overseas, the Company will:  <ul>  	<li>Ensure the personal information is given the same protection in the destination country as it receives in Australia.</li>  </ul>  <b>ACCESS TO PERSONAL INFORMATION </b>  Under the Privacy Act, you generally have the right to seek access to the personal information that the Company holds for you, although there are some circumstances in which the Company is permitted or required to withhold access to some or all of that personal information.  If you wish to exercise your right under the Privacy Act to seek access to the personal information held for you, you should make the request in writing.  You should:  <ul>  	<li>State whether you are seeking access to all personal information held on you or to particular personal information, in which case you should specify that in the request</li>  	<li>You must provide some form of identification (e.g. photocopy of drivers licence or passport) to enable the Company to verify that you are the person to whom the personal information relates</li>  	<li>You must include details of how you can be contacted in case the Company needs to contact you to discuss the request</li>  </ul>  For further information on the Privacy Act, refer to the Office of the Australian Information Commissioner website: www.privacy.gov.au.    <b>How is a request for access processed? </b>  Unless specified otherwise, it is assumed that all requests relate to <span style=""text-decoration: underline;"">current</span> records. In order to provide personal information, ordinarily a print out of the relevant personal information will be made from the Company databases, and/or copies will be made of records which are held only on paper files. If information is duplicated across databases and/or files, only one print out/photocopy will be provided. Ordinarily the Company will not charge for providing access/copies, and will generally respond to access requests of this type within 30 days of receiving the request.  For legal and administrative reasons, the Company may also store records containing personal information in the archives. Access to these historical records will result in a charge being made. Due to the nature of archive, requests for access to historical records may take longer to process than with current records.    <b>Correction to personal information </b>  You have the right to ask the Company to correct personal information about you that you think is inaccurate, incomplete or out of date. This amended data should be given to The Company to consider the request and respond within 30 days of receiving the request.  If the Company agrees that the personal information held is not accurate, complete and up to date, it will be corrected by the appropriate person. If the Company does not agree, you will be provided with the reason(s) for the views and the opportunity to make a statement of your view and have it included with the information held.    <b>STORAGE, SECURITY AND DISPOSAL OF PERSONAL INFORMATION </b>  The Company takes steps to ensure that the personal information it holds is protected from risks, unauthorised access, destruction, use, modification or disclosure. Only authorised personnel have access to personal information, and it is a condition of employment with the Company that all Staff maintain the confidentiality of personal information.  Personal information is only retained by the Company for as long as it is needed by the Company, or for as long as it is legally allowed to be retained. When personal information is no longer required by the Company, it is disposed of or destroyed in a secure fashion in accordance with obligations set out by the Privacy Act.    <b>ONLINE PRIVACY ISSUES </b>  The Company websites may collect other information that may or may not be personal information. For each visitor to the Company website, our server automatically recognises and stores the individual's ""address"" (eg. the domain name or Internet protocol address), the type of Internet browser being used, the address of the site that ""referred"" the individual to our website and clickstream data.  In addition, the Company website uses cookies to track usage of the website. Most web browsers are set by default to accept cookies. However, if an individual does not wish to receive any cookies they may set their browser to either prompt or refuse cookies. Please note that rejecting cookies may mean that not all the functions on the website are available. Cookies are used for tracking the statistics of the website, it allows the Company to better understand users and improve the layout and functionality of the website. This tracking is conducted in such a way as to ensure the anonymity of visitors to the websites. While the cookie may identify an individual's computer, it should not identify the actual person.    E<b>mail and “contact us” messages</b>    We may preserve the content of any email, “contact us” or other electronic message we receive.  Any personal data contained in those messages will only be used or disclosed in ways set out in this Website Privacy Statement.  The message content may be monitored by our service providers or our employees for purposes including compliance auditing and maintenance or where email abuse is suspected.    <b>Links to other websites </b>  Sometimes the Company websites contain links to third party websites for individual's convenience and information. Individuals should be aware that when they access a non-Company website, the Company is not responsible for the privacy practices or policies of that site and will not be liable for any use of your personal information by any third party to whom your information is sent with your consent. The Company suggests that individuals review the privacy policy of each site they visit, especially if they intend to provide any personal information via the site.    <b>Your Acceptance of These Terms</b>  By using the Company's Sites, you signify your acceptance of this Privacy Policy. If you do not agree to this policy, please do not use our Sites. The Company reserves the right to modify, alter or otherwise update this policy at any time. Should the Company modify, alter or otherwise update this policy, it will prominently post notice(s) of the changes on the Websites covered by this Privacy Policy.  <b>Please note</b>: you are responsible, at all times, for updating your personal information within your profile maintained by us and providing us with your current e-mail address. In the event that the last e-mail address provided by you to us is invalid, or for any other reason is not capable of delivering the notification to you, then any notices sent by the Company to you will constitute effective notice of the changes to this Privacy Policy.  The Company may also make accounts inactive should we be notified of undeliverable emails to addresses within our database.    <b>CONTACT DETAILS  </b>The Gordon/Frost Organisation  P: PO BOX 284 Pyrmont, NSW, 2009 Australia  W: <a href=""http://www.gordonfrostorganisation.com"" target=""_blank"">www.gordonfrostorganisation.com</a>  E: <a href=""mailto:info@gordonfrostorganisation.com"">info@gordonfrostorganisation.com</a>"
115,"Contact Us",contact-us,2013/09/12,"<h2>GENERAL MANAGEMENT</h2>  <strong>The Gordon Frost Organisation</strong>    PO BOX 20079 World Square, NSW, 2002 Australia  The Gordon Frost Organisation  W: <a title=""The Gordon Frost Organisation"" href=""http://www.gordonfrostorganisation.com"" target=""_blank"">www.gordonfrostorganisation.com</a>  P: 02 9212 4135  E: <a href=""mailto:info@gordonfrostorganisation.com"">info@gordonfrostorganisation.com</a>  <h2>AUDITIONS</h2>  Suzanne Jones  P: 02 9283 7307  E: <a href=""mailto:onceauditions@gordonfrost.com.au"">onceauditions@gordonfrost.com.au</a>  <h2>MARKETING &amp; WEBSITE</h2>  ACMN    Level 1, 285 George Street, Sydney, 2000  P: 02 8218 3600  E: <a href=""mailto:info@acmn.com.au"">info@acmn.com.au</a>  <h2>MEDIA</h2>  Peter Bridges  Bridges PR  E: <a href=""mailto:bridges@bridgespr.com"">bridges@bridgespr.com</a>  P: 03 9534 0585  M: 0417 390 180"
117,Media,media,2013/09/12,"photographs by simon turtle, alastair muir and manuel harlan"
